,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,0.4352,0.0430,0.0019,0.3326,0.4062,0.4498,0.4648,0.5040,0.1714,0.0586,9.8868
FedEntOpt,50,0.5208,0.0233,0.0005,0.4333,0.5164,0.5293,0.5348,0.5448,0.1114,0.0184,4.4786
FedEntPlusSmooth,50,0.5323,0.0125,0.0002,0.4720,0.5317,0.5358,0.5389,0.5490,0.0770,0.0072,2.3388
FedLC,50,0.4432,0.0569,0.0032,0.2853,0.4232,0.4551,0.4856,0.5344,0.2491,0.0624,12.8288
FedProx,50,0.4532,0.0374,0.0014,0.3751,0.4265,0.4626,0.4805,0.5188,0.1437,0.0540,8.2638
SCAFFOLD,50,0.4902,0.0159,0.0003,0.4514,0.4813,0.4921,0.5025,0.5139,0.0625,0.0213,3.2456
