,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,0.5207,0.0381,0.0015,0.4223,0.4949,0.5235,0.5517,0.5865,0.1642,0.0568,7.3253
FedEntOpt,50,0.5763,0.0133,0.0002,0.5168,0.5711,0.5813,0.5845,0.5895,0.0727,0.0134,2.3104
FedEntPlusSmooth,50,0.5854,0.0081,0.0001,0.5670,0.5811,0.5875,0.5919,0.5972,0.0303,0.0109,1.3784
FedLC,50,0.5321,0.0388,0.0015,0.4294,0.5079,0.5424,0.5596,0.5924,0.1630,0.0516,7.2845
FedProx,50,0.5326,0.0394,0.0016,0.4077,0.5146,0.5339,0.5643,0.6024,0.1947,0.0497,7.3924
SCAFFOLD,50,0.5649,0.0107,0.0001,0.5419,0.5572,0.5666,0.5741,0.5829,0.0410,0.0169,1.8957
