,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,1.3034,0.1405,0.0197,1.0812,1.1966,1.2950,1.3954,1.6650,0.5838,0.1988,10.7773
FedEntOpt,50,1.1296,0.0329,0.0011,1.0936,1.1091,1.1205,1.1454,1.2877,0.1941,0.0363,2.9124
FedEntPlusSmooth,50,1.0814,0.0196,0.0004,1.0507,1.0658,1.0809,1.0927,1.1258,0.0751,0.0268,1.8133
FedLC,50,1.2584,0.1265,0.0160,1.0597,1.1696,1.2247,1.3406,1.5762,0.5165,0.1710,10.0546
FedProx,50,1.2530,0.1368,0.0187,1.0393,1.1476,1.2247,1.3235,1.7256,0.6863,0.1759,10.9162
SCAFFOLD,50,1.1747,0.0236,0.0006,1.1381,1.1525,1.1726,1.1918,1.2185,0.0805,0.0393,2.0130
