,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,0.8318,0.0199,0.0004,0.7734,0.8225,0.8366,0.8471,0.8593,0.0859,0.0247,2.3926
FedEntOpt,50,0.8567,0.0053,0.0000,0.8404,0.8544,0.8579,0.8607,0.8633,0.0229,0.0063,0.6218
FedEntPlusSmooth,50,0.8597,0.0043,0.0000,0.8424,0.8580,0.8601,0.8631,0.8651,0.0228,0.0051,0.5025
FedLC,50,0.8257,0.0196,0.0004,0.7773,0.8127,0.8266,0.8399,0.8595,0.0822,0.0272,2.3689
FedProx,50,0.8370,0.0211,0.0004,0.7384,0.8307,0.8406,0.8490,0.8629,0.1244,0.0183,2.5252
SCAFFOLD,50,0.8591,0.0056,0.0000,0.8376,0.8566,0.8611,0.8631,0.8652,0.0275,0.0066,0.6533
