,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,0.4295,0.0453,0.0021,0.3742,0.3953,0.4169,0.4539,0.5586,0.1844,0.0586,10.5471
FedEntOpt,50,0.3763,0.0091,0.0001,0.3647,0.3699,0.3740,0.3803,0.4057,0.0411,0.0103,2.4275
FedEntPlusSmooth,50,0.3650,0.0087,0.0001,0.3532,0.3592,0.3636,0.3686,0.4005,0.0473,0.0094,2.3964
FedLC,50,0.4501,0.0512,0.0026,0.3687,0.4144,0.4461,0.4797,0.5801,0.2114,0.0653,11.3705
FedProx,50,0.4183,0.0560,0.0031,0.3491,0.3919,0.4070,0.4333,0.7062,0.3571,0.0413,13.3903
SCAFFOLD,50,0.3702,0.0094,0.0001,0.3555,0.3647,0.3678,0.3728,0.4052,0.0496,0.0080,2.5361
