,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,0.3713,0.0129,0.0002,0.3388,0.3619,0.3719,0.3803,0.3987,0.0599,0.0184,3.4704
FedEntOpt,50,0.3824,0.0068,0.0000,0.3609,0.3790,0.3829,0.3878,0.3924,0.0316,0.0089,1.7668
FedEntPlusSmooth,50,0.3866,0.0062,0.0000,0.3644,0.3846,0.3881,0.3905,0.3958,0.0314,0.0059,1.6141
FedLC,50,0.3686,0.0165,0.0003,0.3307,0.3612,0.3721,0.3797,0.4005,0.0698,0.0185,4.4719
FedProx,50,0.3691,0.0123,0.0002,0.3383,0.3616,0.3712,0.3784,0.3874,0.0491,0.0169,3.3238
SCAFFOLD,50,0.3702,0.0093,0.0001,0.3337,0.3636,0.3722,0.3765,0.3865,0.0529,0.0129,2.5234
