,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,1.8838,0.0753,0.0057,1.7352,1.8322,1.8710,1.9301,2.0579,0.3227,0.0979,3.9980
FedEntOpt,50,1.8432,0.0270,0.0007,1.8071,1.8239,1.8384,1.8559,1.9213,0.1141,0.0320,1.4627
FedEntPlusSmooth,50,1.7912,0.0314,0.0010,1.7526,1.7715,1.7790,1.8049,1.9026,0.1500,0.0334,1.7552
FedLC,50,1.8944,0.0886,0.0078,1.7413,1.8324,1.8732,1.9406,2.1312,0.3899,0.1082,4.6757
FedProx,50,1.8925,0.0686,0.0047,1.7928,1.8431,1.8770,1.9378,2.0618,0.2690,0.0947,3.6253
SCAFFOLD,50,1.9268,0.0291,0.0008,1.8726,1.9105,1.9245,1.9405,2.0478,0.1752,0.0300,1.5094
