,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,0.3154,0.0307,0.0009,0.2591,0.2813,0.3216,0.3382,0.3671,0.1080,0.0570,9.7360
FedEntOpt,50,0.3304,0.0068,0.0000,0.3088,0.3264,0.3314,0.3358,0.3410,0.0322,0.0094,2.0719
FedEntPlusSmooth,50,0.3512,0.0046,0.0000,0.3409,0.3483,0.3519,0.3542,0.3597,0.0188,0.0059,1.3224
FedLC,50,0.3332,0.0112,0.0001,0.3005,0.3264,0.3326,0.3416,0.3535,0.0531,0.0153,3.3482
FedProx,50,0.3352,0.0110,0.0001,0.3048,0.3270,0.3370,0.3431,0.3533,0.0485,0.0160,3.2749
SCAFFOLD,50,0.3160,0.0049,0.0000,0.3028,0.3140,0.3161,0.3195,0.3245,0.0216,0.0055,1.5557
