Number,State,Value,Param H_min_1,Param H_min_2,Param H_min_3,Param alpha_vp_1,Param alpha_vp_2,Param alpha_vp_3,Param beta_1,Param beta_2,Param beta_3,Param buffer_size_1,Param buffer_size_2,Param buffer_size_3,Param gr_1,Param gr_2
59,COMPLETE,0.5151323314756155,0.7000000000000001,0.5,0.98,0.9500000000000001,1.7,1.4,0.28,1.9000000000000001,0.15000000000000002,14,38,22,95,310
60,COMPLETE,0.5191506957635283,0.5,0.5,0.62,0.9,1.5,1.25,0.24,1.94,0.05,14,26,22,95,310
61,COMPLETE,0.513534850999713,0.65,0.5,0.62,1.1,1.95,1.8,0.14,1.84,0.35000000000000003,12,34,24,85,330
62,COMPLETE,0.5162478160113096,0.7000000000000001,0.5,0.74,1.05,1.75,1.4,0.08,1.8800000000000001,0.1,18,38,28,105,290
63,COMPLETE,0.5053212525323033,0.55,0.5,0.6599999999999999,0.9500000000000001,1.95,1.25,0.34,1.8,0.45,16,26,24,120,290
64,COMPLETE,0.5196112360805273,0.65,0.5,0.8,1.05,1.25,1.95,0.18,1.8,0.25,22,34,18,80,315
65,COMPLETE,0.5150795100256801,0.5,0.58,0.94,0.9500000000000001,1.55,1.55,0.22,1.98,0.15000000000000002,26,28,16,125,295
66,COMPLETE,0.5234604388475418,0.6000000000000001,0.5,0.6799999999999999,0.9,1.65,1.7,0.36,1.8,0.30000000000000004,12,32,14,115,330
67,COMPLETE,0.5287027508020401,0.75,0.5,0.8,1.2,1.25,1.65,0.04,1.8,0.0,22,38,22,125,300
68,COMPLETE,0.5175567410886288,0.75,0.58,0.82,1.2,1.25,1.65,0.06,1.86,0.05,24,38,22,125,305
69,COMPLETE,0.5323901269584894,0.75,0.5,0.62,1.0,1.3,1.55,0.02,1.8,0.0,22,38,18,125,275
70,COMPLETE,0.5257856752723455,0.75,0.54,0.62,1.0,1.25,1.65,0.02,1.9000000000000001,0.0,22,38,12,125,275
