time,json_config,trained,params,c_v,score
2025-04-20T20:10:51,smooth_trial01_0015.json,yes,"{""stage1"": {""gr"": 50, ""H_min"": 0.8, ""alpha_vp"": 1.0, ""beta"": 0.2, ""buffer_size"": 10}, ""stage2"": {""gr"": 320, ""H_min"": 0.4, ""alpha_vp"": 1.2000000000000002, ""beta"": 0.8, ""buffer_size"": 20}, ""stage3"": {""gr"": 500, ""H_min"": 1.2, ""alpha_vp"": 0.8, ""beta"": 0.0, ""buffer_size"": 20}}",0.1,0.5263110702857375
2025-04-20T20:40:57,smooth_trial01_0016.json,yes,"{""stage1"": {""gr"": 50, ""H_min"": 0.8, ""alpha_vp"": 1.0, ""beta"": 0.4, ""buffer_size"": 10}, ""stage2"": {""gr"": 340, ""H_min"": 0.4, ""alpha_vp"": 1.2000000000000002, ""beta"": 0.0, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 0.4, ""beta"": 0.4, ""buffer_size"": 20}}",0.1,0.5070713248103857
2025-04-20T21:11:58,smooth_trial01_0017.json,yes,"{""stage1"": {""gr"": 50, ""H_min"": 0.8, ""alpha_vp"": 1.0, ""beta"": 0.4, ""buffer_size"": 10}, ""stage2"": {""gr"": 260, ""H_min"": 0.2, ""alpha_vp"": 1.6, ""beta"": 0.8, ""buffer_size"": 20}, ""stage3"": {""gr"": 500, ""H_min"": 1.2, ""alpha_vp"": 0.4, ""beta"": 0.4, ""buffer_size"": 30}}",0.1,0.51443095151335
2025-04-20T21:45:14,smooth_trial01_0018.json,yes,"{""stage1"": {""gr"": 70, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.0, ""beta"": 0.2, ""buffer_size"": 10}, ""stage2"": {""gr"": 260, ""H_min"": 0.4, ""alpha_vp"": 2.0, ""beta"": 1.6, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 1.2, ""alpha_vp"": 0.8, ""beta"": 0.4, ""buffer_size"": 20}}",0.1,0.5275407663546503
2025-04-20T22:16:42,smooth_trial01_0019.json,yes,"{""stage1"": {""gr"": 70, ""H_min"": 0.6000000000000001, ""alpha_vp"": 0.8, ""beta"": 0.4, ""buffer_size"": 20}, ""stage2"": {""gr"": 240, ""H_min"": 0.8, ""alpha_vp"": 2.0, ""beta"": 1.6, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.8999999999999999, ""alpha_vp"": 0.8, ""beta"": 0.4, ""buffer_size"": 20}}",0.1,0.5185769632458687
2025-04-20T22:48:36,smooth_trial01_0020.json,yes,"{""stage1"": {""gr"": 110, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.0, ""beta"": 0.2, ""buffer_size"": 10}, ""stage2"": {""gr"": 380, ""H_min"": 0.2, ""alpha_vp"": 2.0, ""beta"": 2.0, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 2.0, ""beta"": 0.8, ""buffer_size"": 40}}",0.1,0.5277321546338498
2025-04-20T23:21:07,smooth_trial01_0021.json,yes,"{""stage1"": {""gr"": 170, ""H_min"": 0.6000000000000001, ""alpha_vp"": 0.8, ""beta"": 0.8, ""buffer_size"": 30}, ""stage2"": {""gr"": 380, ""H_min"": 0.2, ""alpha_vp"": 1.6, ""beta"": 1.6, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.3, ""alpha_vp"": 2.0, ""beta"": 2.0, ""buffer_size"": 40}}",0.1,0.46826293766498567
2025-04-20T23:53:58,smooth_trial01_0022.json,yes,"{""stage1"": {""gr"": 110, ""H_min"": 0.8, ""alpha_vp"": 1.0, ""beta"": 0.4, ""buffer_size"": 0}, ""stage2"": {""gr"": 380, ""H_min"": 0.0, ""alpha_vp"": 2.0, ""beta"": 0.4, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 2.0, ""beta"": 0.8, ""buffer_size"": 40}}",0.1,0.5054339369758963
2025-04-21T09:25:07,smooth_trial01_0024.json,yes,"{""stage1"": {""gr"": 150, ""H_min"": 0.2, ""alpha_vp"": 0.8, ""beta"": 0.2, ""buffer_size"": 10}, ""stage2"": {""gr"": 360, ""H_min"": 0.2, ""alpha_vp"": 0.0, ""beta"": 2.0, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.3, ""alpha_vp"": 1.6, ""beta"": 0.8, ""buffer_size"": 30}}",0.1,0.5180353496223689
2025-04-21T09:57:16,smooth_trial01_0025.json,yes,"{""stage1"": {""gr"": 70, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.0, ""beta"": 0.2, ""buffer_size"": 10}, ""stage2"": {""gr"": 220, ""H_min"": 0.6000000000000001, ""alpha_vp"": 2.0, ""beta"": 1.6, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 0.8, ""beta"": 0.4, ""buffer_size"": 10}}",0.1,0.5136012211441994
