,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,0.2896,0.0381,0.0015,0.1784,0.2668,0.3017,0.3169,0.3709,0.1925,0.0501,13.1521
FedEntOpt,50,0.3536,0.0085,0.0001,0.3365,0.3484,0.3547,0.3585,0.3686,0.0321,0.0100,2.4151
FedEntPlusSmooth,50,0.3597,0.0070,0.0000,0.3418,0.3545,0.3607,0.3644,0.3732,0.0313,0.0099,1.9447
FedLC,50,0.3332,0.0202,0.0004,0.2885,0.3207,0.3412,0.3496,0.3642,0.0758,0.0289,6.0724
FedProx,50,0.3310,0.0169,0.0003,0.2848,0.3243,0.3307,0.3451,0.3575,0.0727,0.0208,5.0911
SCAFFOLD,50,0.3382,0.0078,0.0001,0.3092,0.3341,0.3401,0.3439,0.3491,0.0398,0.0098,2.3112
