,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,0.8097,0.0202,0.0004,0.7535,0.7982,0.8110,0.8203,0.8497,0.0962,0.0221,2.4972
FedEntOpt,50,0.8389,0.0104,0.0001,0.8060,0.8355,0.8414,0.8462,0.8499,0.0439,0.0107,1.2348
FedEntPlusSmooth,50,0.8413,0.0126,0.0002,0.7908,0.8362,0.8445,0.8499,0.8547,0.0638,0.0137,1.5016
FedLC,50,0.8079,0.0254,0.0006,0.7112,0.7943,0.8144,0.8258,0.8442,0.1330,0.0315,3.1440
FedProx,50,0.8081,0.0283,0.0008,0.7460,0.7952,0.8135,0.8283,0.8524,0.1064,0.0332,3.5068
SCAFFOLD,50,0.8450,0.0059,0.0000,0.8294,0.8420,0.8457,0.8483,0.8563,0.0269,0.0063,0.6944
