,Actual Rounds,Mean,Std Dev,Variance,Min,25%,Median (50%),75%,Max,Range,IQR,CV (%)
FedAvg,50,0.4019,0.0592,0.0035,0.2562,0.3473,0.4118,0.4548,0.4968,0.2406,0.1075,14.7167
FedEntOpt,50,0.4899,0.0349,0.0012,0.3635,0.4729,0.5026,0.5128,0.5374,0.1739,0.0398,7.1187
FedEntPlusSmooth,50,0.4955,0.0236,0.0006,0.4313,0.4805,0.5003,0.5134,0.5341,0.1028,0.0329,4.7651
FedLC,50,0.4196,0.0524,0.0027,0.2950,0.3873,0.4220,0.4567,0.5125,0.2175,0.0694,12.4974
FedProx,50,0.4144,0.0692,0.0048,0.1673,0.3693,0.4280,0.4644,0.5211,0.3538,0.0950,16.6994
SCAFFOLD,50,0.4107,0.0290,0.0008,0.3309,0.3932,0.4191,0.4329,0.4606,0.1297,0.0398,7.0606
